NAMES	GROUPS
12758	11
12759	11
12760	11
12762	11
12763	11
12764	11
12765	11
12766	11
12767	11
12768	11
12769	11
12770	11
12771	11
12772	11
12773	11
12774	11
12775	11
12776	11
12777	11
12778	11
12779	11
12780	11
12781	11
12783	11
12784	11
12785	11
12786	11
12787	11
12788	11
12789	11
12791	11
12792	11
12793	11
12794	11
12795	11
12796	11
12797	11
12798	11
12799	11
12800	11
12801	11
12802	11
12803	11
12804	11
12805	11
12806	11
12807	11
12808	11
12809	11
12810	11
12811	11
12812	11
12813	11
12814	11
12815	11
12818	11
12819	11
12821	11
12823	11
12824	11
12825	11
12826	11
12827	11
12828	11
12829	11
12830	11
12831	11
12832	11
12833	11
12834	11
12835	11
12836	11
12837	11
12838	11
12839	11
12842	12
12843	12
12844	12
12845	12
12846	12
12847	12
12848	12
12849	12
12850	12
12851	12
12852	12
12853	12
12854	12
12855	12
12856	12
12857	12
12858	12
12859	12
12860	12
12861	12
12862	12
12863	12
12864	12
12865	12
12866	12
12867	12
12868	12
12869	12
12870	12
12871	12
12872	12
12873	12
12874	12
12875	12
12876	12
12877	12
12878	12
12879	12
12880	12
12881	12
12882	12
12883	12
12884	12
12885	12
12886	12
12887	Other
12888	Other
12889	Other
12890	Other
12891	Other
12892	12
12893	12
12894	12
12895	12
12896	12
12897	12
12898	12
12899	12
12902	12
12903	12
12904	12
12905	12
12906	12
12907	12
12908	12
12909	12
12910	12
12911	12
12912	12
12913	12
12914	12
12915	12
12916	12
12917	12
12918	12
12919	12
12920	12
12921	12
12922	12
12923	12
12924	12
12925	12
12926	12
12927	12
12928	12
12929	12
12930	12
12931	12
12932	12
12933	12
12934	12
12935	12
12936	12
12937	12
12938	12
12939	12
12940	12
12941	12
12942	12
12943	12
12944	12
12945	12
12946	12
12947	12
12948	12
12949	12
12950	12
12951	12
12952	12
12953	12
12954	12
12955	12
12956	12
12957	12
12958	12
12959	12
12964	12
12965	12
12966	12
12967	12
12968	12
13034	12
13035	12
13182	13
13183	13
13184	13
13185	13
13186	13
13187	13
13188	13
13189	13
13190	13
13191	13
13192	13
13193	13
13194	13
13195	13
13196	13
13197	13
13198	13
13199	13
13200	13
13201	13
13202	13
13203	13
13204	13
13205	13
13206	13
13207	13
13208	13
13209	13
13210	13
13211	13
13212	13
13213	13
13217	13
13218	13
13219	13
13220	13
13221	13
13222	13
13223	13
13224	13
13225	13
13226	13
13228	13
13229	13
13230	13
13231	13
13232	13
13233	13
13234	13
13235	13
13236	13
13237	13
13238	13
13239	13
13240	13
13241	13
13242	13
13243	13
13244	13
13245	13
13246	13
13247	13
13248	13
13249	13
13250	13
13251	13
13252	13
13253	13
13254	13
13255	13
13256	13
13257	13
