SRR11035377	sra-paired:SRR11035377
SRR11035376	sra-paired:SRR11035376
SRR11035304	sra-paired:SRR11035304
SRR11035293	sra-paired:SRR11035293
SRR11035282	sra-paired:SRR11035282
SRR11035271	sra-paired:SRR11035271
SRR11035260	sra-paired:SRR11035260
SRR11035249	sra-paired:SRR11035249
SRR11035238	sra-paired:SRR11035238
SRR11035227	sra-paired:SRR11035227
SRR11035375	sra-paired:SRR11035375
SRR11035364	sra-paired:SRR11035364
SRR11035353	sra-paired:SRR11035353
SRR11035342	sra-paired:SRR11035342
SRR11035331	sra-paired:SRR11035331
SRR11035320	sra-paired:SRR11035320
SRR11035309	sra-paired:SRR11035309
SRR11035307	sra-paired:SRR11035307
SRR11035306	sra-paired:SRR11035306
SRR11035305	sra-paired:SRR11035305
SRR11035303	sra-paired:SRR11035303
SRR11035302	sra-paired:SRR11035302
SRR11035301	sra-paired:SRR11035301
SRR11035300	sra-paired:SRR11035300
SRR11035299	sra-paired:SRR11035299
SRR11035298	sra-paired:SRR11035298
SRR11035297	sra-paired:SRR11035297
SRR11035296	sra-paired:SRR11035296
SRR11035295	sra-paired:SRR11035295
SRR11035294	sra-paired:SRR11035294
SRR11035292	sra-paired:SRR11035292
SRR11035291	sra-paired:SRR11035291
SRR11035290	sra-paired:SRR11035290
SRR11035289	sra-paired:SRR11035289
SRR11035288	sra-paired:SRR11035288
SRR11035287	sra-paired:SRR11035287
SRR11035286	sra-paired:SRR11035286
SRR11035285	sra-paired:SRR11035285
SRR11035284	sra-paired:SRR11035284
SRR11035283	sra-paired:SRR11035283
SRR11035281	sra-paired:SRR11035281
SRR11035280	sra-paired:SRR11035280
SRR11035279	sra-paired:SRR11035279
SRR11035278	sra-paired:SRR11035278
SRR11035277	sra-paired:SRR11035277
SRR11035276	sra-paired:SRR11035276
SRR11035275	sra-paired:SRR11035275
SRR11035274	sra-paired:SRR11035274
SRR11035273	sra-paired:SRR11035273
SRR11035272	sra-paired:SRR11035272
SRR11035270	sra-paired:SRR11035270
SRR11035269	sra-paired:SRR11035269
SRR11035268	sra-paired:SRR11035268
SRR11035267	sra-paired:SRR11035267
SRR11035266	sra-paired:SRR11035266
SRR11035265	sra-paired:SRR11035265
SRR11035264	sra-paired:SRR11035264
SRR11035263	sra-paired:SRR11035263
SRR11035262	sra-paired:SRR11035262
SRR11035261	sra-paired:SRR11035261
SRR11035259	sra-paired:SRR11035259
SRR11035258	sra-paired:SRR11035258
SRR11035257	sra-paired:SRR11035257
SRR11035256	sra-paired:SRR11035256
SRR11035255	sra-paired:SRR11035255
SRR11035254	sra-paired:SRR11035254
SRR11035253	sra-paired:SRR11035253
SRR11035252	sra-paired:SRR11035252
SRR11035251	sra-paired:SRR11035251
SRR11035250	sra-paired:SRR11035250
SRR11035248	sra-paired:SRR11035248
SRR11035247	sra-paired:SRR11035247
SRR11035246	sra-paired:SRR11035246
SRR11035245	sra-paired:SRR11035245
SRR11035244	sra-paired:SRR11035244
SRR11035243	sra-paired:SRR11035243
SRR11035242	sra-paired:SRR11035242
SRR11035241	sra-paired:SRR11035241
SRR11035240	sra-paired:SRR11035240
SRR11035239	sra-paired:SRR11035239
SRR11035237	sra-paired:SRR11035237
SRR11035236	sra-paired:SRR11035236
SRR11035235	sra-paired:SRR11035235
SRR11035234	sra-paired:SRR11035234
SRR11035233	sra-paired:SRR11035233
SRR11035232	sra-paired:SRR11035232
SRR11035231	sra-paired:SRR11035231
SRR11035230	sra-paired:SRR11035230
SRR11035229	sra-paired:SRR11035229
SRR11035228	sra-paired:SRR11035228
SRR11035226	sra-paired:SRR11035226
SRR11035225	sra-paired:SRR11035225
SRR11035224	sra-paired:SRR11035224
SRR11035223	sra-paired:SRR11035223
SRR11035222	sra-paired:SRR11035222
SRR11035221	sra-paired:SRR11035221
SRR11035220	sra-paired:SRR11035220
SRR11035219	sra-paired:SRR11035219
SRR11035218	sra-paired:SRR11035218
SRR11035217	sra-paired:SRR11035217
SRR11035374	sra-paired:SRR11035374
SRR11035373	sra-paired:SRR11035373
SRR11035372	sra-paired:SRR11035372
SRR11035371	sra-paired:SRR11035371
SRR11035370	sra-paired:SRR11035370
SRR11035369	sra-paired:SRR11035369
SRR11035368	sra-paired:SRR11035368
SRR11035367	sra-paired:SRR11035367
SRR11035366	sra-paired:SRR11035366
SRR11035365	sra-paired:SRR11035365
SRR11035363	sra-paired:SRR11035363
SRR11035362	sra-paired:SRR11035362
SRR11035361	sra-paired:SRR11035361
SRR11035360	sra-paired:SRR11035360
SRR11035359	sra-paired:SRR11035359
SRR11035358	sra-paired:SRR11035358
SRR11035357	sra-paired:SRR11035357
SRR11035356	sra-paired:SRR11035356
SRR11035355	sra-paired:SRR11035355
SRR11035354	sra-paired:SRR11035354
SRR11035352	sra-paired:SRR11035352
SRR11035351	sra-paired:SRR11035351
SRR11035350	sra-paired:SRR11035350
SRR11035349	sra-paired:SRR11035349
SRR11035348	sra-paired:SRR11035348
SRR11035347	sra-paired:SRR11035347
SRR11035346	sra-paired:SRR11035346
SRR11035345	sra-paired:SRR11035345
SRR11035344	sra-paired:SRR11035344
SRR11035343	sra-paired:SRR11035343
SRR11035341	sra-paired:SRR11035341
SRR11035340	sra-paired:SRR11035340
SRR11035339	sra-paired:SRR11035339
SRR11035338	sra-paired:SRR11035338
SRR11035337	sra-paired:SRR11035337
SRR11035336	sra-paired:SRR11035336
SRR11035335	sra-paired:SRR11035335
SRR11035334	sra-paired:SRR11035334
SRR11035333	sra-paired:SRR11035333
SRR11035332	sra-paired:SRR11035332
SRR11035330	sra-paired:SRR11035330
SRR11035329	sra-paired:SRR11035329
SRR11035328	sra-paired:SRR11035328
SRR11035327	sra-paired:SRR11035327
SRR11035326	sra-paired:SRR11035326
SRR11035325	sra-paired:SRR11035325
SRR11035324	sra-paired:SRR11035324
SRR11035323	sra-paired:SRR11035323
