NAMES	GROUPS
10103	MiSeq_1
10104	MiSeq_1
10105	MiSeq_1
10106	MiSeq_1
10107	MiSeq_1
10108	MiSeq_1
10109	MiSeq_1
10110	MiSeq_1
10111	MiSeq_1
10112	MiSeq_1
10113	MiSeq_1
10114	MiSeq_1
10115	MiSeq_1
10116	MiSeq_1
10117	MiSeq_1
10118	MiSeq_1
10119	MiSeq_1
10120	MiSeq_1
10121	MiSeq_1
10122	MiSeq_1
10123	MiSeq_1
10124	MiSeq_1
10125	MiSeq_1
10126	MiSeq_1
10127	MiSeq_1
10128	MiSeq_1
10129	MiSeq_1
10130	MiSeq_1
10131	MiSeq_1
10132	MiSeq_1
10134	MiSeq_1
10135	MiSeq_1
10136	MiSeq_1
10137	MiSeq_1
10138	MiSeq_1
10139	MiSeq_1
10140	MiSeq_1
10141	MiSeq_1
10142	MiSeq_1
10143	MiSeq_1
10144	MiSeq_1
10145	MiSeq_1
10146	MiSeq_1
10147	MiSeq_1
10148	MiSeq_1
10149	MiSeq_1
10150	MiSeq_1
10151	MiSeq_1
10152	MiSeq_1
10153	MiSeq_1
10154	MiSeq_1
10155	MiSeq_1
10156	MiSeq_1
10157	MiSeq_1
10158	MiSeq_1
10159	MiSeq_1
10160	MiSeq_1
10161	MiSeq_1
10162	MiSeq_1
10163	MiSeq_1
10165	MiSeq_1
10166	MiSeq_1
10167	MiSeq_1
10168	MiSeq_1
10169	MiSeq_1
10170	MiSeq_1
10171	MiSeq_1
10172	MiSeq_1
10173	MiSeq_1
10174	MiSeq_1
10175	MiSeq_1
10176	MiSeq_1
10177	MiSeq_1
10178	MiSeq_1
10179	MiSeq_1
10180	MiSeq_1
10181	MiSeq_1
10182	MiSeq_1
10183	MiSeq_1
10184	MiSeq_1
10185	MiSeq_1
10186	MiSeq_1
10187	MiSeq_1
10188	MiSeq_1
10189	MiSeq_1
10193	MiSeq_1
10194	MiSeq_1
10195	MiSeq_1
10196	MiSeq_1
10198	MiSeq_1
10199	MiSeq_1
10200	MiSeq_1
10201	MiSeq_1
10202	MiSeq_1
10203	MiSeq_1
10204	MiSeq_1
10289	MiSeq_1
10290	MiSeq_1
10293	MiSeq_1
10294	MiSeq_1
10295	MiSeq_1
10296	MiSeq_1
10297	MiSeq_1
10298	MiSeq_1
10299	MiSeq_1
10300	MiSeq_1
10205	MiSeq_1
10206	MiSeq_1
10207	MiSeq_1
10208	MiSeq_1
10209	MiSeq_1
10210	MiSeq_1
10211	MiSeq_1
10212	MiSeq_1
10213	MiSeq_1
10214	MiSeq_1
10215	MiSeq_1
10216	MiSeq_1
10301	MiSeq_1
10302	MiSeq_1
10303	MiSeq_1
10304	MiSeq_1
10305	MiSeq_1
10306	MiSeq_1
10307	MiSeq_1
10308	MiSeq_1
10309	MiSeq_1
10217	MiSeq_1
10218	MiSeq_1
10219	MiSeq_1
10220	MiSeq_1
10221	MiSeq_1
10222	MiSeq_1
10223	MiSeq_1
10224	MiSeq_1
10225	MiSeq_1
10226	MiSeq_1
10227	MiSeq_1
10228	MiSeq_1
10229	MiSeq_1
10230	MiSeq_1
10231	MiSeq_1
10232	MiSeq_1
10233	MiSeq_1
10234	MiSeq_1
10235	MiSeq_1
10236	MiSeq_1
10237	MiSeq_1
10238	MiSeq_1
10239	MiSeq_1
10240	MiSeq_1
10327	MiSeq_1
10328	MiSeq_1
10332	MiSeq_1
10241	MiSeq_1
10242	MiSeq_1
10243	MiSeq_1
10244	MiSeq_1
10245	MiSeq_1
10246	MiSeq_1
10248	MiSeq_1
10249	MiSeq_1
10250	MiSeq_1
10251	MiSeq_1
10252	MiSeq_1
10333	MiSeq_1
10334	MiSeq_1
10335	MiSeq_1
10336	MiSeq_1
10337	MiSeq_1
10338	MiSeq_1
10339	MiSeq_1
10340	MiSeq_1
10341	MiSeq_1
10342	MiSeq_1
10343	MiSeq_1
10344	MiSeq_1
10253	MiSeq_1
10254	MiSeq_1
10255	MiSeq_1
10256	MiSeq_1
10257	MiSeq_1
10258	MiSeq_1
10259	MiSeq_1
10260	MiSeq_1
10261	MiSeq_1
10262	MiSeq_1
10263	MiSeq_1
10264	MiSeq_1
10345	MiSeq_1
10346	MiSeq_1
10347	MiSeq_1
10348	MiSeq_1
10349	MiSeq_1
10350	MiSeq_1
10351	MiSeq_1
10352	MiSeq_1
10353	MiSeq_1
10354	MiSeq_1
10355	MiSeq_1
10356	MiSeq_1
10265	MiSeq_1
10266	MiSeq_1
10267	MiSeq_1
10268	MiSeq_1
10269	MiSeq_1
10270	MiSeq_1
10271	MiSeq_1
10272	MiSeq_1
10273	MiSeq_1
10274	MiSeq_1
10275	MiSeq_1
10276	MiSeq_1
10357	MiSeq_1
10358	MiSeq_1
10359	MiSeq_1
10360	MiSeq_1
10361	MiSeq_1
10362	MiSeq_1
10363	MiSeq_1
10364	MiSeq_1
10365	MiSeq_1
10277	MiSeq_1
10278	MiSeq_1
10279	MiSeq_1
10280	MiSeq_1
10281	MiSeq_1
10282	MiSeq_1
10283	MiSeq_1
10284	MiSeq_1
10285	MiSeq_1
106284	MiSeq_18
106285	MiSeq_18
106286	MiSeq_18
106287	MiSeq_18
106288	MiSeq_18
106289	MiSeq_18
106290	MiSeq_18
106291	MiSeq_18
106292	MiSeq_18
106293	MiSeq_18
106294	MiSeq_18
106295	MiSeq_18
106296	MiSeq_18
106297	MiSeq_18
106298	MiSeq_18
106299	MiSeq_18
106300	MiSeq_18
106301	MiSeq_18
106302	MiSeq_18
106303	MiSeq_18
106304	MiSeq_18
106305	MiSeq_18
106306	MiSeq_18
106307	MiSeq_18
106308	MiSeq_18
106309	MiSeq_18
106310	MiSeq_18
106311	MiSeq_18
106312	MiSeq_18
106313	MiSeq_18
106314	MiSeq_18
106315	MiSeq_18
106316	MiSeq_18
106317	MiSeq_18
106318	MiSeq_18
106319	MiSeq_18
106320	MiSeq_18
106321	MiSeq_18
106322	MiSeq_18
106323	MiSeq_18
106324	MiSeq_18
106325	MiSeq_18
106326	MiSeq_18
106327	MiSeq_18
106328	MiSeq_18
106329	MiSeq_18
106330	MiSeq_18
106331	MiSeq_18
106332	MiSeq_18
106333	MiSeq_18
106334	MiSeq_18
106335	MiSeq_18
106336	MiSeq_18
106337	MiSeq_18
106338	MiSeq_18
106339	MiSeq_18
106340	MiSeq_18
106341	MiSeq_18
106342	MiSeq_18
106343	MiSeq_18
106236	MiSeq_18
