task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	c6/c6707c	1456801	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039285)	COMPLETED	0	2024-06-19 11:11:24.535	12.4s	10ms	160.0%	0	0	99.6 KB	906 B
3	65/bd4975	1457467	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039286)	COMPLETED	0	2024-06-19 11:11:25.168	15.5s	8ms	138.7%	0	0	99.6 KB	906 B
4	f0/1d55a7	1458094	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039287)	COMPLETED	0	2024-06-19 11:11:25.653	19.5s	7ms	131.6%	0	0	99.6 KB	906 B
5	ac/d7e54a	1458299	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039288)	COMPLETED	0	2024-06-19 11:11:26.077	19.7s	6ms	151.8%	0	0	99.6 KB	906 B
6	7a/f9046d	1458881	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039289)	COMPLETED	0	2024-06-19 11:11:28.059	18s	9ms	167.7%	0	0	99.6 KB	906 B
7	15/7191e1	1458930	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039290)	COMPLETED	0	2024-06-19 11:11:29.237	17.6s	6ms	151.8%	0	0	99.6 KB	906 B
8	5d/7e683f	1459149	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039291)	COMPLETED	0	2024-06-19 11:11:30.184	16.7s	8ms	126.1%	0	0	99.6 KB	906 B
9	68/ee9a81	1459219	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039292)	COMPLETED	0	2024-06-19 11:11:31.519	16.1s	11ms	168.6%	0	0	99.6 KB	906 B
10	94/e146b6	1459608	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039293)	COMPLETED	0	2024-06-19 11:11:32.843	15s	9ms	133.3%	0	0	99.6 KB	906 B
11	97/ee70ef	1460055	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039294)	COMPLETED	0	2024-06-19 11:11:34.039	14s	11ms	123.8%	0	0	99.6 KB	906 B
13	da/26cf05	1460849	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039296)	COMPLETED	0	2024-06-19 11:11:35.621	12.7s	9ms	156.0%	0	0	99.6 KB	906 B
12	a7/86140f	1460457	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039295)	COMPLETED	0	2024-06-19 11:11:34.903	13.6s	9ms	125.3%	0	0	99.6 KB	906 B
14	01/67b78a	1461016	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039297)	COMPLETED	0	2024-06-19 11:11:36.404	12.2s	7ms	66.7%	0	0	99.6 KB	905 B
17	c1/c87736	1461645	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039298)	COMPLETED	0	2024-06-19 11:11:37.430	12.3s	9ms	176.3%	0	0	99.6 KB	906 B
19	11/68bea1	1462035	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039300)	COMPLETED	0	2024-06-19 11:11:38.701	11.7s	10ms	150.0%	0	0	99.6 KB	906 B
18	a0/6b0d4f	1461881	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039299)	COMPLETED	0	2024-06-19 11:11:37.881	12.7s	11ms	150.0%	0	0	99.6 KB	906 B
21	80/20e833	1462798	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039302)	COMPLETED	0	2024-06-19 11:11:40.122	10.6s	9ms	104.5%	0	0	99.6 KB	906 B
20	d4/71f455	1462443	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039301)	COMPLETED	0	2024-06-19 11:11:39.489	11.3s	11ms	83.2%	0	0	99.6 KB	905 B
25	4a/d209c5	1463565	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039304)	COMPLETED	0	2024-06-19 11:11:42.161	10s	10ms	96.7%	0	0	99.6 KB	905 B
24	c9/aef280	1463297	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039303)	COMPLETED	0	2024-06-19 11:11:41.381	11s	8ms	114.3%	0	0	99.6 KB	906 B
26	5d/7afab7	1463841	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039305)	COMPLETED	0	2024-06-19 11:11:42.612	10s	8ms	124.6%	0	0	99.6 KB	906 B
27	76/a9506b	1464308	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039306)	COMPLETED	0	2024-06-19 11:11:43.813	8.8s	8ms	169.6%	0	0	99.6 KB	906 B
28	60/914167	1464871	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039307)	COMPLETED	0	2024-06-19 11:11:44.943	7.8s	7ms	140.5%	0	0	99.6 KB	906 B
15	52/439e10	1461293	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (SRR7039285)	COMPLETED	0	2024-06-19 11:11:36.918	17.3s	5s	206.1%	1011.8 MB	6.1 GB	35.1 MB	5.5 MB
33	ba/d7741f	1465532	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039308)	COMPLETED	0	2024-06-19 11:11:45.972	8.6s	9ms	102.5%	0	0	99.6 KB	906 B
22	7f/231ec6	1463105	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (SRR7039286)	COMPLETED	0	2024-06-19 11:11:40.668	14.1s	5s	218.4%	696.6 MB	6.1 GB	31.8 MB	5.5 MB
40	ee/156efb	1466681	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039309)	COMPLETED	0	2024-06-19 11:11:47.650	7.4s	7ms	68.0%	0	0	99.6 KB	905 B
53	b4/bb1828	1468547	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039310)	COMPLETED	0	2024-06-19 11:11:49.773	6.3s	6ms	156.4%	0	0	99.6 KB	906 B
58	b7/343f71	1468945	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039311)	COMPLETED	0	2024-06-19 11:11:50.602	5.9s	8ms	130.8%	0	0	99.6 KB	906 B
29	4d/2f2a06	1465089	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (SRR7039287)	COMPLETED	0	2024-06-19 11:11:45.192	11.4s	3s	257.5%	559.9 MB	6 GB	25.5 MB	5.5 MB
68	50/114e90	1470584	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039313)	COMPLETED	0	2024-06-19 11:11:52.431	4.5s	7ms	72.2%	0	0	99.6 KB	905 B
