sample	DADA2_input	filtered	denoised	nonchim
ERS1212512	12010	11723	11678	11265
ERS1212513	33924	33103	33023	31637
ERS1212514	41147	39825	39584	37865
ERS1212515	24219	23706	23586	22041
ERS1212516	26087	25375	25222	23592
ERS1212517	16131	15734	15673	15427
ERS1212518	18775	18347	18294	17454
ERS1212519	23074	22484	22445	22183
ERS1212520	18766	18353	18182	16988
ERS1212521	10172	9912	9870	9449
ERS1212522	15992	15612	15557	14715
ERS1212523	15415	15058	15008	14447
ERS1212524	19036	18712	18686	18517
ERS1212525	28638	27937	27902	26376
ERS1212526	28667	28057	27902	26321
ERS1212527	13965	13608	13554	13303
ERS1212528	19357	18827	18771	18059
ERS1212529	10755	10496	10473	10201
ERS1212530	15150	14835	14744	14123
ERS1212531	30292	29630	29488	28024
ERS1212532	22853	22308	22243	21031
ERS1212533	6732	6558	6499	6434
ERS1212534	23753	23241	23128	21484
ERS1212535	16940	16595	16555	15761
ERS1212536	17681	17291	17231	16552
ERS1212537	14426	14065	14032	13406
ERS1212538	8642	8223	8190	8190
ERS1212539	9006	8797	8759	8508
ERS1212540	27982	27329	27280	26662
ERS1212541	25098	24374	24265	23305
ERS1212542	22946	22380	22359	21735
ERS1212543	20171	19741	19711	19097
ERS1212544	13927	13637	13604	13407
ERS1212545	8085	7905	7880	7743
ERS1212546	14540	14176	14119	13821
ERS1212547	37279	36079	36028	32838
ERS1212548	28618	27778	27631	25660
ERS1212549	25266	24663	24630	23111
ERS1212550	13199	12758	12733	12272
ERS1212551	6419	4814	4763	4763
ERS1212552	25751	25203	25153	24293
ERS1212553	25082	24544	24507	23386
ERS1212554	23106	22449	22378	20880
ERS1212555	8126	7885	7860	7577
ERS1212556	14476	14111	14089	13422
ERS1212557	20972	20427	20372	19382
ERS1212558	22751	22104	22021	20604
ERS1212559	18576	18169	18143	17211
ERS1212560	19993	19415	19357	18712
ERS1212561	32892	32183	32143	29711
ERS1212562	30585	29790	29732	27976
ERS1212563	20256	19729	19690	18473
ERS1212564	8081	7873	7853	7410
ERS1212565	18259	17796	17751	16633
ERS1212566	16776	9165	9019	8240
ERS1212567	25799	25199	25174	24058
ERS1212568	32419	31673	31537	30084
ERS1212569	36446	35486	35294	33167
ERS1212570	34117	33228	33056	31082
ERS1212571	42423	41267	41156	38188
ERS1212572	43129	42125	41939	40293
ERS1212573	21095	20586	20519	19443
ERS1212574	20240	19717	19661	19084
ERS1212575	29469	28739	28636	27322
ERS1212576	19893	19470	19407	18703
ERS1212577	32082	31377	31240	30046
ERS1212578	31118	30411	30273	29008
ERS1212579	8093	7895	7867	7330
ERS1212580	28690	28072	28037	26779
ERS1212581	47006	45904	45822	43870
ERS1212582	19908	19400	19319	17921
ERS1212583	20347	19720	19691	18624
ERS1212584	36332	35261	35137	32785
ERS1212585	15513	15093	15053	14615
ERS1212586	19603	19077	19002	17614
ERS1212587	16782	16413	16385	16050
ERS1212588	19968	19474	19433	18237
ERS1212589	19417	18921	18858	18231
ERS1212590	12787	12507	12455	11821
ERS1212591	25971	25347	25256	23707
ERS1212592	31116	30265	30229	28234
ERS1212593	16686	16381	16333	15161
ERS1212594	24817	24149	24115	22990
ERS1212595	30947	30359	30299	28970
ERS1212596	26264	25700	25629	23776
ERS1212597	21920	21459	21405	20423
ERS1212598	35580	34672	34618	33275
ERS1212599	13328	13035	12969	12188
ERS1212600	43154	42169	42087	39215
ERS1212601	36975	35944	35808	34626
ERS1212602	16680	16272	16201	15658
ERS1212603	13060	12711	12688	11987
ERS1212604	45091	44062	44045	43745
ERS1212605	54404	53344	53304	49469
ERS1212606	14236	13838	13788	13117
ERS1212607	39703	38796	38737	35817
ERS1212608	40854	39853	39802	38297
ERS1212609	31263	30397	30378	28982
ERS1212610	26270	25578	25495	24438
ERS1212611	14823	14472	14423	14415
ERS1212612	41377	40565	40495	39818
ERS1212613	22948	22373	22320	21822
ERS1212614	40123	39062	38980	37557
ERS1212615	8120	7950	7945	7843
ERS1212616	26145	25465	25426	24295
ERS1212617	40774	39665	39639	37654
ERS1212618	31750	30894	30837	29099
ERS1212619	30734	29781	29755	28902
ERS1212620	42003	40944	40859	39769
ERS1212621	14239	13856	13817	13285
ERS1212622	33682	32798	32771	32161
ERS1212623	18299	17794	17714	16676
ERS1212624	32813	32008	31956	31238
ERS1212625	15318	14934	14895	14371
ERS1212626	21006	20482	20424	19790
ERS1212627	37265	36055	36026	34716
ERS1212628	18911	18340	18332	17957
ERS1212629	20998	20553	20546	19571
ERS1212630	13826	13491	13428	12831
ERS1212631	17796	17360	17266	16597
ERS1212632	40720	39887	39782	37571
ERS1212633	18103	17666	17605	17096
ERS1212634	24154	23406	23358	21800
ERS1212635	21573	21046	20986	19866
ERS1212636	28689	27792	27736	25775
ERS1212637	8135	7935	7911	7370
ERS1212638	19562	18958	18927	17934
ERS1212639	33835	33058	32980	30660
ERS1212640	18451	17928	17905	16469
ERS1212641	18346	17734	17660	16862
ERS1212642	5998	5845	5835	5616
ERS1212643	43445	42064	41954	39660
ERS1212644	10509	10166	10123	9465
ERS1212645	15184	14859	14772	13899
ERS1212646	32958	32018	31982	30899
ERS1212647	28861	28079	28037	27278
ERS1212648	28489	27490	27443	26409
ERS1212649	25364	24848	24797	24046
ERS1212650	15471	15096	15046	14497
ERS1212651	18557	18062	18031	16983
ERS1212652	19595	19110	19081	18391
ERS1212653	33568	32557	32451	30812
ERS1212654	13818	13537	13518	12898
ERS1212655	26978	26328	26214	24462
ERS1212656	32842	31970	31851	29536
ERS1212657	26450	25794	25705	24093
ERS1212658	20258	19814	19777	18619
ERS1212659	22119	21589	21569	21063
ERS1212660	19602	19152	19035	18295
ERS1212661	17725	17152	17102	16365
ERS1212662	18672	18172	18116	17337
ERS1212663	20886	20339	20312	19853
ERS1212664	30978	30265	30249	28028
ERS1212665	24638	24021	24006	22313
ERS1212666	7766	7573	7545	7261
ERS1212667	4782	4126	4091	4091
ERS1212668	3907	3429	3410	3410
ERS1212669	23799	23210	23190	22830
ERS1212670	22200	21675	21646	21009
ERS1212671	13148	12735	12689	12054
ERS1212672	30256	29495	29422	28245
ERS1212673	16071	15642	15613	14933
ERS1212674	17502	17068	17005	16260
ERS1212675	18096	17705	17670	16899
ERS1212676	21608	21103	21072	20603
ERS1212677	8587	8378	8365	8267
ERS1212678	28210	27227	27138	26732
ERS1212679	21301	20798	20752	19501
ERS1212680	15434	15057	15001	13957
ERS1212681	9593	9316	9257	9019
ERS1212682	37788	36888	36851	35237
ERS1212683	24922	24362	24299	23056
ERS1212684	23853	23173	23078	21726
ERS1212685	31814	31101	31053	29987
ERS1212686	10213	9700	9675	9675
ERS1212687	32159	31247	31234	30010
ERS1212688	29689	29033	28980	28527
ERS1212689	29328	28578	28558	27691
ERS1212690	37238	36310	36290	35026
ERS1212691	19706	19208	19198	18860
ERS1212692	39468	38509	38438	36807
ERS1212693	26527	25791	25620	24421
ERS1212694	9410	9132	9103	8567
ERS1212695	22735	22196	22120	20504
ERS1212696	41476	40503	40433	39068
ERS1212697	28078	27500	27457	26138
ERS1212698	16301	15828	15791	14404
ERS1212699	10936	10370	10328	10328
ERS1212700	26112	25589	25533	24240
ERS1212701	28514	27833	27753	25663
ERS1212702	28488	27881	27797	25504
ERS1212703	8758	8617	8564	7980
ERS1212704	22259	21716	21620	20014
ERS1212705	7949	6786	6728	6728
ERS1212706	29479	28900	28877	28518
ERS1212707	21427	20690	20595	20248
ERS1212708	29857	29064	29047	27696
ERS1212709	12293	12050	12015	11819
ERS1212710	34698	33771	33703	32060
ERS1212711	7511	7306	7254	7046
ERS1212712	37978	36667	36559	34093
ERS1212713	17910	17447	17409	16602
ERS1212714	9427	9177	9142	8723
ERS1212715	39383	38412	38357	35338
ERS1212716	11353	5707	5650	5650
ERS1212717	5087	4956	4936	4936
ERS1212718	27327	26659	26532	24307
ERS1212719	24672	24058	23961	21709
ERS1212720	23023	22495	22402	21056
ERS1212721	34915	33889	33778	30870
ERS1212722	29831	29057	28974	28150
ERS1212723	35193	34160	34132	33174
ERS1212724	26941	26312	26296	25038
ERS1212725	26634	25901	25812	24166
ERS1212726	29904	29190	29173	27802
ERS1212727	23801	23157	23063	21572
ERS1212728	28151	27290	27156	25798
ERS1212729	27625	26904	26884	25607
ERS1212730	23619	22873	22842	21944
ERS1212731	23374	22751	22648	20993
ERS1212732	24463	23744	23706	22564
ERS1212733	20260	19622	19575	19077
ERS1212734	21977	21409	21397	20342
ERS1212735	14662	14266	14250	14144
ERS1212736	15752	15331	15304	14364
ERS1212737	25854	25244	25156	23986
ERS1212738	19382	18868	18830	17787
ERS1212739	27912	26803	26754	25030
ERS1212740	32525	31809	31752	29904
ERS1212741	28777	28065	28028	26661
ERS1212742	39983	39044	38965	37391
ERS1212743	24701	23938	23920	23062
ERS1212744	22833	22108	22056	20698
ERS1212745	23151	22524	22464	22147
ERS1212746	23002	22372	22349	20827
ERS1212747	22019	21575	21503	21167
ERS1212748	17375	16988	16941	15653
ERS1212749	14588	14219	14152	13394
ERS1212750	18948	18520	18491	17639
ERS1212751	4579	3164	3124	3124
ERS1212752	21200	20688	20677	20147
ERS1212753	24612	24066	24038	22947
ERS1212754	25084	24486	24415	23959
ERS1212755	29119	28405	28380	27266
ERS1212756	20479	19939	19831	19260
ERS1212757	16006	15636	15601	15556
ERS1212758	20096	19699	19655	18635
ERS1212759	32656	31851	31814	30048
ERS1212760	33343	32594	32558	31655
ERS1212761	34194	33468	33399	32349
ERS1212762	24257	23726	23608	22893
ERS1212763	38442	37495	37434	36880
ERS1212764	20304	19815	19728	18731
ERS1212765	41007	40086	40040	39173
ERS1212766	39396	38555	38446	37010
ERS1212767	48809	47765	47732	45993
ERS1212768	22055	21487	21438	19496
ERS1212769	39304	38394	38228	35188
ERS1212770	41811	40749	40631	37585
ERS1212771	13568	13215	13156	12563
ERS1212772	51603	50236	50190	48287
ERS1212773	32924	32236	32093	31306
ERS1212774	29581	28663	28647	28613
ERS1212775	12960	12575	12553	11795
ERS1212776	39000	38246	38211	37962
ERS1212777	22261	21582	21479	21378
ERS1212778	8304	8069	8046	7742
ERS1212779	25245	24657	24608	23140
ERS1212780	19187	18722	18634	18311
ERS1212781	29525	28676	28558	26704
ERS1212782	31310	30456	30427	30411
ERS1212783	23794	23252	23218	22487
ERS1212784	34462	33418	33341	33148
ERS1212785	24399	23656	23625	22578
ERS1212786	9329	8727	8700	8700
ERS1212787	18621	18129	18060	17432
ERS1212788	6413	5211	5195	5195
ERS1213546	16985	16529	16484	16089
ERS1213547	28155	27219	27103	26006
ERS1213548	15392	14916	14892	14671
ERS1213549	5434	5257	5237	5210
ERS1213550	15141	14906	14892	14755
ERS1213551	11100	10860	10815	10693
ERS1213552	17484	16988	16944	16488
ERS1213553	34349	33586	33453	32083
ERS1213554	26833	26137	26052	25284
ERS1213555	13002	12673	12621	12467
ERS1213556	13295	12906	12869	12664
ERS1213557	12697	12415	12371	12162
ERS1213558	45412	44244	44177	43511
ERS1213559	15381	14812	14749	14511
