name	description	sourcemtoverride	samplemtoverride	host_age	role	host_life_stage	body_habitat	body_product	body_site	sample_type	collection_timestamp	colony_tetracycline	country	depth	elevation	env_biome	env_feature	env_matter	host_common_name	host_subject_id	larval_tetracycline	latitude	longitude	sex
ERS1267905	Sample 1064.G.CJV171 : Whole intestine tissue, with food content.				drone		UBERON:multi-cellular organism		UBERON:intestine	Gut	10/22/08	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV171	TRUE	18.22	-65.99	male
ERS1267906	Sample 1064.G.CJV172 : Whole intestine tissue, with food content.				drone		UBERON:multi-cellular organism		UBERON:intestine	Gut	10/24/08	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV172	TRUE	18.22	-65.99	male
ERS1267907	Sample 1064.G.CJV173 : Whole intestine tissue, with food content.				drone		UBERON:multi-cellular organism		UBERON:intestine	Gut	10/24/08	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV173	TRUE	18.22	-65.99	male
ERS1267908	Sample 1064.G.CJV174 : Whole intestine tissue, with food content.				drone		UBERON:multi-cellular organism		UBERON:intestine	Gut	10/25/08	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV174	TRUE	18.22	-65.99	male
ERS1267909	Sample 1064.G.CJV175 : Whole intestine tissue, with food content.				drone		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV175	TRUE	18.22	-65.99	male
ERS1267910	Sample 1064.G.CJV176 : Whole intestine tissue, with food content.				drone		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV176	TRUE	18.22	-65.99	male
ERS1267911	Sample 1064.G.CJV189 : Whole intestine tissue, with food content.			5 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV189	FALSE	18.22	-65.99	female
ERS1267912	Sample 1064.G.CJV190 : Whole intestine tissue, with food content.			5 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV190	FALSE	18.22	-65.99	female
ERS1267913	Sample 1064.G.CJV191 : Whole intestine tissue, with food content.			5 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV191	FALSE	18.22	-65.99	female
ERS1267914	Sample 1064.G.CJV192 : Whole intestine tissue, with food content.			5 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV192	FALSE	18.22	-65.99	female
ERS1267915	Sample 1064.G.CJV193 : Whole intestine tissue, with food content.			5 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV193	FALSE	18.22	-65.99	female
ERS1267916	Sample 1064.G.CJV194 : Whole intestine tissue, with food content.			5 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV194	FALSE	18.22	-65.99	female
ERS1267917	Sample 1064.G.CJV195 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV195	FALSE	18.22	-65.99	female
ERS1267918	Sample 1064.G.CJV196 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV196	FALSE	18.22	-65.99	female
ERS1267919	Sample 1064.G.CJV197 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV197	FALSE	18.22	-65.99	female
ERS1267920	Sample 1064.G.CJV198 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV198	FALSE	18.22	-65.99	female
ERS1267921	Sample 1064.G.CJV199 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV199	FALSE	18.22	-65.99	female
ERS1267922	Sample 1064.G.CJV200 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV200	FALSE	18.22	-65.99	female
ERS1267923	Sample 1064.G.CJV201 : Whole intestine tissue, with food content.			21 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV201	TRUE	18.22	-65.99	female
ERS1267924	Sample 1064.G.CJV202 : Whole intestine tissue, with food content.			21 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV202	TRUE	18.22	-65.99	female
ERS1267925	Sample 1064.G.CJV203 : Whole intestine tissue, with food content.			21 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV203	TRUE	18.22	-65.99	female
ERS1267926	Sample 1064.G.CJV204 : Whole intestine tissue, with food content.			21 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV204	TRUE	18.22	-65.99	female
ERS1267927	Sample 1064.G.CJV205 : Whole intestine tissue, with food content.			21 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV205	TRUE	18.22	-65.99	female
ERS1267928	Sample 1064.G.CJV206 : Whole intestine tissue, with food content.			21 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV206	TRUE	18.22	-65.99	female
ERS1267929	Sample 1064.G.CJV207 : Whole intestine tissue, with food content.				queen		UBERON:multi-cellular organism		UBERON:intestine	Gut	10/23/08	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV207	TRUE	18.22	-65.99	female
ERS1267930	Sample 1064.G.CJV228 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV228	FALSE	18.22	-65.99	female
ERS1267931	Sample 1064.G.CJV229 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV229	FALSE	18.22	-65.99	female
ERS1267932	Sample 1064.G.CJV230 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV230	FALSE	18.22	-65.99	female
ERS1267933	Sample 1064.G.CJV231 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV231	FALSE	18.22	-65.99	female
ERS1267934	Sample 1064.G.CJV232 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CJV232	FALSE	18.22	-65.99	female
ERS1267935	Sample 1064.G.CV01 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV01	FALSE	18.22	-65.99	female
ERS1267936	Sample 1064.G.CV02 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV02	FALSE	18.22	-65.99	female
ERS1267937	Sample 1064.G.CV03 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV03	FALSE	18.22	-65.99	female
ERS1267938	Sample 1064.G.CV04 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV04	FALSE	18.22	-65.99	female
ERS1267939	Sample 1064.G.CV05 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV05	FALSE	18.22	-65.99	female
ERS1267940	Sample 1064.G.CV06 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV06	FALSE	18.22	-65.99	female
ERS1267941	Sample 1064.G.CV10 : Whole intestine tissue, with food content.			4 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV10	FALSE	18.22	-65.99	female
ERS1267942	Sample 1064.G.CV108 : Whole intestine tissue, with food content.				queen		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV108	TRUE	18.22	-65.99	female
ERS1267943	Sample 1064.G.CV11 : Whole intestine tissue, with food content.			4 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV11	FALSE	18.22	-65.99	female
ERS1267944	Sample 1064.G.CV12 : Whole intestine tissue, with food content.			4 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV12	FALSE	18.22	-65.99	female
ERS1267945	Sample 1064.G.CV209 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV209	FALSE	18.22	-65.99	female
ERS1267946	Sample 1064.G.CV210 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV210	FALSE	18.22	-65.99	female
ERS1267947	Sample 1064.G.CV211 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV211	FALSE	18.22	-65.99	female
ERS1267948	Sample 1064.G.CV212 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV212	FALSE	18.22	-65.99	female
ERS1267949	Sample 1064.G.CV213 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV213	FALSE	18.22	-65.99	female
ERS1267950	Sample 1064.G.CV214 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV214	FALSE	18.22	-65.99	female
ERS1267951	Sample 1064.G.CV233 : Whole intestine tissue, with food content.			7 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV233	FALSE	18.22	-65.99	female
ERS1267952	Sample 1064.G.CV234 : Whole intestine tissue, with food content.			7 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV234	FALSE	18.22	-65.99	female
ERS1267953	Sample 1064.G.CV235 : Whole intestine tissue, with food content.			7 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV235	FALSE	18.22	-65.99	female
ERS1267954	Sample 1064.G.CV236 : Whole intestine tissue, with food content.			7 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV236	FALSE	18.22	-65.99	female
ERS1267955	Sample 1064.G.CV237 : Whole intestine tissue, with food content.			7 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV237	FALSE	18.22	-65.99	female
ERS1267956	Sample 1064.G.CV238 : Whole intestine tissue, with food content.			7 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV238	FALSE	18.22	-65.99	female
ERS1267957	Sample 1064.G.CV239 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	12/18/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV239	FALSE	18.22	-65.99	female
ERS1267958	Sample 1064.G.CV240 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	12/18/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV240	FALSE	18.22	-65.99	female
ERS1267959	Sample 1064.G.CV241 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	12/18/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV241	FALSE	18.22	-65.99	female
ERS1267960	Sample 1064.G.CV242 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	6/13/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV242	FALSE	18.22	-65.99	female
ERS1267961	Sample 1064.G.CV243 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	6/13/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV243	FALSE	18.22	-65.99	female
ERS1267962	Sample 1064.G.CV244 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	6/13/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV244	FALSE	18.22	-65.99	female
ERS1267963	Sample 1064.G.CV25 : Whole intestine tissue, with food content.			7 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV25	FALSE	18.22	-65.99	female
ERS1267964	Sample 1064.G.CV26 : Whole intestine tissue, with food content.			7 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV26	FALSE	18.22	-65.99	female
ERS1267965	Sample 1064.G.CV263 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV263	FALSE	18.22	-65.99	female
ERS1267966	Sample 1064.G.CV264 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV264	FALSE	18.22	-65.99	female
ERS1267967	Sample 1064.G.CV265 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV265	FALSE	18.22	-65.99	female
ERS1267968	Sample 1064.G.CV266 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV266	FALSE	18.22	-65.99	female
ERS1267969	Sample 1064.G.CV267 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV267	TRUE	18.22	-65.99	female
