sampleID,forwardReads
SRS011157,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011157.SRX020659.SRR045036.fastq.gz
SRS011157,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011157.SRX020661.SRR044808.fastq.gz
SRS011159,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011159.SRX020663.SRR045145.fastq.gz
SRS011159,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011159.SRX020667.SRR045224.fastq.gz
SRS011161,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011161.SRX020659.SRR045028.fastq.gz
SRS011161,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011161.SRX020661.SRR044801.fastq.gz
SRS011165,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011165.SRX020659.SRR045005.fastq.gz
SRS011165,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011165.SRX020661.SRR044777.fastq.gz
SRS011167,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011167.SRX020659.SRR045052.fastq.gz
SRS011167,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011167.SRX020661.SRR044828.fastq.gz
SRS011169,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011169.SRX020663.SRR045141.fastq.gz
SRS011169,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011169.SRX020667.SRR045220.fastq.gz
SRS011171,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011171.SRX020515.SRR045363.fastq.gz
SRS011173,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011173.SRX020659.SRR045043.fastq.gz
SRS011173,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011173.SRX020661.SRR044818.fastq.gz
SRS011175,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011175.SRX020659.SRR044992.fastq.gz
SRS011175,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011175.SRX020661.SRR044766.fastq.gz
SRS011177,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011177.SRX020659.SRR045018.fastq.gz
SRS011177,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011177.SRX020661.SRR047461.fastq.gz
SRS011179,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011179.SRX020515.SRR045376.fastq.gz
SRS011179,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011179.SRX020537.SRR045397.fastq.gz
SRS011179,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011179.SRX020570.SRR045464.fastq.gz
SRS011180,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011180.SRX020537.SRR045391.fastq.gz
SRS011180,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011180.SRX020570.SRR045459.fastq.gz
SRS011181,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011181.SRX020537.SRR045389.fastq.gz
SRS011181,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011181.SRX020570.SRR045457.fastq.gz
SRS011182,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011182.SRX020537.SRR045378.fastq.gz
SRS011182,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011182.SRX020570.SRR045449.fastq.gz
SRS011271,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011271.SRX020659.SRR045051.fastq.gz
SRS011271,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011271.SRX020661.SRR044827.fastq.gz
SRS011273,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011273.SRX020659.SRR045049.fastq.gz
SRS011273,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011273.SRX020661.SRR044825.fastq.gz
SRS011275,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011275.SRX020659.SRR044995.fastq.gz
SRS011275,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011275.SRX020661.SRR044769.fastq.gz
SRS011277,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011277.SRX020515.SRR045360.fastq.gz
SRS011277,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011277.SRX020571.SRR045480.fastq.gz
SRS011279,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011279.SRX020661.SRR047466.fastq.gz
SRS011279,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011279.SRX020662.SRR045406.fastq.gz
SRS011279,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011279.SRX020664.SRR045429.fastq.gz
SRS011281,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011281.SRX020663.SRR045160.fastq.gz
SRS011281,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011281.SRX020667.SRR045239.fastq.gz
SRS011283,/data/MicrobiomeDB/common/amplicon_sequencing/EMP_1927_HMP_V13/data/1927.SRS011283.SRX020659.SRR045032.fastq.gz
