ASV_ID	SRR8571581	SRR8571582	SRR8571583	SRR8571584	SRR8571585	SRR8571586	SRR8571587	SRR8571588	SRR8571589	SRR8571590	SRR8571591	SRR8571592	SRR8571593	SRR8571594	SRR8571595	SRR8571596	SRR8571597	SRR8571598	SRR8571599	SRR8571600	SRR8571601	SRR8571602	SRR8571603	SRR8571604	SRR8571605	SRR8571606	SRR8571607	SRR8571608	SRR8571609	SRR8571610	SRR8571611	SRR8571612	SRR8571613	SRR8571614	SRR8571615	SRR8571616	SRR8571617	SRR8571618	SRR8571619	SRR8571620	SRR8571621	SRR8571622	SRR8571623	SRR8571624	SRR8571625	SRR8571626	SRR8571627	SRR8571628	SRR8571629	SRR8571630
b3c1eaa9ba2f7365d1002b968c2e965a	0	9	1009	0	0	0	0	0	0	0	0	73639	0	0	0	0	0	0	0	0	34	0	0	30296	1374	38242	0	0	0	0	0	0	0	0	0	0	0	0	0	94144	0	0	0	0	0	0	0	17	0	0
0df6c802966e8670279671824da4f10a	9	42	458	1549	51	601	1476	308	49	345	6	91206	242	539	0	127	627	56	36	60	20	1171	657	4826	138	7299	40	778	1549	505	772	1974	626	30	7	23	20	1152	28	16067	48	0	0	44	307	353	233	28	390	127
7dcd6871fdb2d66e4a3bff166557cfc1	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	840	109	13157	2141	4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	0	4	0	33616	0	0	4679	0	25693	51635	0	0
d46e2205f0c6ecf67b51f83d111c509c	0	28	3	12	0	237	0	7	8	65	0	1251	14	10	28	0	10	16139	63410	22	35659	11	5	132	93	62	370	366	200	995	733	28	68	14	6	0	6	12	0	138	302	48	125	473	3270	8	405	155	27	8
df0e3d38eec730326754d8c17a8b8efe	1590	5995	112	0	1607	11675	0	0	253	1719	0	13960	1280	0	0	0	14	8	28	13	13	0	0	585	0	975	1061	3158	7321	1999	1986	17357	17298	351	938	689	7	0	4152	4033	1251	0	0	32	6	9	0	30	1455	4612
9908fffab7ed4f3bec44cda2f5084d49	2383	11515	0	0	154	19110	0	0	1230	3053	18	0	2328	0	0	0	0	0	1660	0	116	0	0	13	6052	43	16	24	13	47	55	4553	22132	0	54	1426	0	0	3044	0	0	444	13	0	144	0	174	441	6450	11545
daae43be6cf06991f62a085ba8bff3b6	0	0	406	723	51	0	1835	1178	0	0	0	16774	15	2591	0	749	2408	105	0	452	98	707	939	8979	11	12603	0	926	1450	1507	1335	0	0	0	43	0	0	1168	17	33832	0	148	0	0	195	340	111	0	0	0
53e8f34b14b34a85e09d2cad651f71ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	27	6298	0	21268	368	7284	0	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	10249	0	0	6915	0	5229	441	0	0
938fbbe51af86d1d7ebd6817a0f0bd24	0	0	0	0	0	0	129	616	0	0	8	0	0	26	0	36	29	8598	76	14185	13775	1631	93	6	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	8711	0	0	1623	35	314	0	0	0
bbee9f3d2ff7eae779b70c7ac2c971e4	0	3	316	0	0	0	0	0	0	0	0	9491	0	0	0	0	0	0	0	0	0	0	0	3834	1348	4780	0	0	0	0	0	0	0	0	0	0	0	0	0	18776	0	0	0	0	0	0	0	0	0	0
69a11f927915e2a3ba1f7b9c84486527	28	118	91	0	0	0	0	0	0	15	0	20872	0	0	0	0	15	13	16	13	0	0	0	1486	7	2931	0	234	536	37	51	0	432	0	21	0	6	0	3946	2143	4	0	0	0	9	0	11	18	18	4
945184b6386c192c0066e0a98a154780	0	0	0	0	5085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	118	87	4438	38	6048	6721	6329	0	0	0	0	52	0	0	66	0	0	0	0	0	0
721bbde09abf2f51fc7d8caeab5b22f1	0	0	30	0	431	0	0	0	0	0	0	3587	0	0	0	0	5	3	0	0	0	0	0	358	0	731	601	1546	6001	2052	1280	599	0	233	937	416	0	0	0	1158	480	0	0	0	0	0	0	0	0	0
b44aff2995f396f00ad579d8e6684335	0	0	0	834	0	0	1806	1336	0	0	0	0	0	2321	0	505	1800	703	64	2916	389	618	1088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1415	0	0	0	128	0	0	1093	405	1762	13	0	0
