.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR8571581_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571581_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571582_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571582_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571583_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571583_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571584_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571584_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571585_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571585_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571586_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571586_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571587_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571587_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR8571588_1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR8571588_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR8571589_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571589_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571590_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571590_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571591_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571591_2	1	0.25	0.5	0.25	0.25	1	1	0.5	0.25	1
SRR8571592_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571592_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571593_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571593_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571594_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571594_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571595_1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR8571595_2	1	0.25	0.5	0.25	0.25	1	1	1	0.25	1
SRR8571596_1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR8571596_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571597_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571597_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571598_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571598_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571599_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571599_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571600_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571600_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571601_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571601_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571602_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571602_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571603_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571603_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR8571604_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571604_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571605_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571605_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571606_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571606_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571607_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571607_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571608_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571608_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571609_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571609_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	1
SRR8571610_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571610_2	1	0.5	1	0.25	0.5	1	1	0.25	0.25	1
SRR8571611_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571611_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571612_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571612_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571613_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571613_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571614_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571614_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571615_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571615_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571616_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571616_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571617_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571617_2	1	0.25	0.5	0.25	0.25	1	1	0.5	0.25	1
SRR8571618_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571618_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571619_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571619_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571620_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571620_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571621_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571621_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571622_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571622_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571623_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571623_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571624_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571624_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571625_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571625_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571626_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571626_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571627_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571627_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571628_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571628_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571629_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571629_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571630_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR8571630_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
