Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR8571581_1	44.676549865229106	49.528301886792434
SRR8571581_2	38.780323450134766	45.80525606468998
SRR8571582_1	49.64434633308806	44.1010546970812
SRR8571582_2	45.58498896247241	42.535360968032066
SRR8571583_1	36.21621621621622	56.37837837837841
SRR8571583_2	22.1981981981982	55.09909909909912
SRR8571584_1	28.48954601706507	64.0102911483098
SRR8571584_2	9.695173581710414	70.37386829935514
SRR8571585_1	51.7797552836485	35.43619895121559
SRR8571585_2	41.522326394406484	30.081042428094698
SRR8571586_1	51.999594762302756	39.852594787630075
SRR8571586_2	47.39001595623433	38.50771217992551
SRR8571587_1	35.13214087879492	57.61485267051446
SRR8571587_2	13.92169826492504	65.38963243571641
SRR8571588_1	17.396442711103234	70.82668557584347
SRR8571588_2	6.244755657980264	64.89511315960526
SRR8571589_1	58.0895008605852	36.14457831325306
SRR8571589_2	50.98967297762479	32.185886402753965
SRR8571590_1	29.435820397262564	45.20948088799868
SRR8571590_2	24.945751961275246	25.329661158404267
SRR8571591_1	16.873315363881403	65.82210242587624
SRR8571591_2	6.900269541778976	31.69811320754713
SRR8571592_1	31.36831481700914	60.74900199804692
SRR8571592_2	22.135213431451465	60.40945660479122
SRR8571593_1	50.03076923076924	40.96410256410255
SRR8571593_2	46.42051282051282	37.53846153846151
SRR8571594_1	42.77808046339575	50.67530754451869
SRR8571594_2	11.765549278811688	69.74163392882747
SRR8571595_1	10.990712074303406	89.00928792569738
SRR8571595_2	4.489164086687306	95.51083591331425
SRR8571596_1	37.93370641411967	51.58846319414555
SRR8571596_2	10.460611278519156	58.27808867843308
SRR8571597_1	34.533364996437896	57.380669674661576
SRR8571597_2	9.197340299216338	69.02398480170979
SRR8571598_1	28.21691736191462	64.82857316850377
SRR8571598_2	24.566104378539674	55.91163753729977
SRR8571599_1	78.63021948608136	15.509011420413998
SRR8571599_2	69.767130620985	17.44512847965737
SRR8571600_1	43.640131484922115	49.155590491162904
SRR8571600_2	38.807107808108235	43.386451336286946
SRR8571601_1	36.86520116134384	55.443384487764426
SRR8571601_2	29.474077146412274	50.296142679386136
SRR8571602_1	26.592478059191183	64.74879679435527
SRR8571602_2	23.24310198392822	57.70596049565547
SRR8571603_1	36.969171722174075	54.99876191655316
SRR8571603_2	17.12269406958029	62.05274235483469
SRR8571604_1	47.65384712084007	46.32049143920284
SRR8571604_2	34.14262128843559	50.66332559523313
SRR8571605_1	40.37618863087609	48.591528303574094
SRR8571605_2	33.991116940411956	43.90556532625868
SRR8571606_1	44.82248292660367	47.87488245178598
SRR8571606_2	29.663259695479464	48.67755047507468
SRR8571607_1	10.551889187033142	68.5111320617884
SRR8571607_2	9.717891072594096	59.07607513235183
SRR8571608_1	35.5433711499103	47.964726987896995
SRR8571608_2	17.08062763726407	51.47434115774314
SRR8571609_1	38.19878603945372	47.420333839150246
SRR8571609_2	14.53566009104704	49.78148710166922
SRR8571610_1	23.608463441148206	57.44174688450211
SRR8571610_2	10.24530115167079	60.06963590818144
SRR8571611_1	24.642068051259393	56.630578877596044
SRR8571611_2	7.907644719399028	61.168802474591104
SRR8571612_1	39.85691466624671	46.9031924227767
SRR8571612_2	36.37877117595447	43.13257891066168
SRR8571613_1	42.496592980655215	48.60621935894941
SRR8571613_2	38.69312047574379	44.84876373869489
SRR8571614_1	48.74308883155179	35.48838923700697
SRR8571614_2	45.49207519351272	31.662366384076662
SRR8571615_1	37.72953231206249	50.20797402860913
SRR8571615_2	35.12732068580704	46.139799127523595
SRR8571616_1	44.6323888617489	43.78969223253542
SRR8571616_2	38.599169516365414	40.211284807034666
SRR8571617_1	17.03488372093023	68.48837209302346
SRR8571617_2	5.406976744186046	36.74418604651178
SRR8571618_1	30.293411355543903	61.71299235419139
SRR8571618_2	8.399348588147616	69.74247150073147
SRR8571619_1	28.96303565587177	65.35165194635263
SRR8571619_2	24.435721295387637	60.42525351651945
SRR8571620_1	50.53398331830478	43.52856364592728
SRR8571620_2	32.249398857829874	52.07276638112417
SRR8571621_1	9.774317842258395	68.89989777463238
SRR8571621_2	8.783518125344028	58.433592828497254
SRR8571622_1	55.825740070628235	36.23512229149414
SRR8571622_2	47.93455988141431	33.073200505733105
SRR8571623_1	6.713973799126638	69.55967976710333
SRR8571623_2	6.131732168850073	57.969432314410476
SRR8571624_1	6.0485894990462805	71.62935448248163
SRR8571624_2	6.098785262523843	61.93655255496433
SRR8571625_1	33.332558193614396	58.1145501476641
SRR8571625_2	28.423598353603236	48.43848103620677
SRR8571626_1	23.89859540938678	64.06988694758485
SRR8571626_2	13.14833847207948	56.36861939020212
SRR8571627_1	60.609030800412	31.17088081868627
SRR8571627_2	51.799182642788324	27.708741735056606
SRR8571628_1	66.85339560319899	25.93798018172798
SRR8571628_2	58.27636689211262	26.235617233911285
SRR8571629_1	55.422628821643606	38.64258347016966
SRR8571629_2	48.956134177809055	37.37586988818513
SRR8571630_1	55.766933592885906	38.3488917400345
SRR8571630_2	50.19687652081583	37.57023403972928
