Sample	Unique Reads	Duplicate Reads
SRR8571581_1	242	5694
SRR8571581_2	774	5162
SRR8571582_1	549	23913
SRR8571582_2	1513	22949
SRR8571583_1	327	5223
SRR8571583_2	1102	4448
SRR8571584_1	975	29731
SRR8571584_2	3831	26875
SRR8571585_1	974	11612
SRR8571585_2	2669	9917
SRR8571586_1	1310	38173
SRR8571586_2	3076	36407
SRR8571587_1	1257	54706
SRR8571587_2	6110	49853
SRR8571588_1	2855	81760
SRR8571588_2	11286	73329
SRR8571589_1	134	2190
SRR8571589_2	394	1930
SRR8571590_1	2345	9637
SRR8571590_2	5220	6762
SRR8571591_1	407	1448
SRR8571591_2	1243	612
SRR8571592_1	4983	484495
SRR8571592_2	28037	461441
SRR8571593_1	347	4528
SRR8571593_2	700	4175
SRR8571594_1	897	33976
SRR8571594_2	3893	30980
SRR8571595_1	229	417
SRR8571595_2	513	133
SRR8571596_1	803	10812
SRR8571596_2	2938	8677
SRR8571597_1	1336	40774
SRR8571597_2	5288	36822
SRR8571598_1	1388	64296
SRR8571598_2	7075	58609
SRR8571599_1	1211	88453
SRR8571599_2	5620	84044
SRR8571600_1	1613	82351
SRR8571600_2	7746	76218
SRR8571601_1	2090	118460
SRR8571601_2	12212	108338
SRR8571602_1	1328	44591
SRR8571602_2	4710	41209
SRR8571603_1	1056	31252
SRR8571603_2	4054	28254
SRR8571604_1	2131	117192
SRR8571604_2	8775	110548
SRR8571605_1	2070	31477
SRR8571605_2	4992	28555
SRR8571606_1	3496	191105
SRR8571606_2	20360	174241
SRR8571607_1	1702	12087
SRR8571607_2	2868	10921
SRR8571608_1	3009	36568
SRR8571608_2	6928	32649
SRR8571609_1	3547	62353
SRR8571609_2	12535	53365
SRR8571610_1	4945	58528
SRR8571610_2	9301	54172
SRR8571611_1	3929	41331
SRR8571611_2	7734	37526
SRR8571612_1	2212	42237
SRR8571612_2	4609	39840
SRR8571613_1	2000	54501
SRR8571613_2	5356	51145
SRR8571614_1	1333	12232
SRR8571614_2	2092	11473
SRR8571615_1	1235	18479
SRR8571615_2	2355	17359
SRR8571616_1	1018	15358
SRR8571616_2	2306	14070
SRR8571617_1	332	1388
SRR8571617_2	1109	611
SRR8571618_1	1180	35049
SRR8571618_2	4857	31372
SRR8571619_1	428	14857
SRR8571619_2	1531	13754
SRR8571620_1	3435	422421
SRR8571620_2	25187	400669
SRR8571621_1	1622	11095
SRR8571621_2	2964	9753
SRR8571622_1	1822	89926
SRR8571622_2	9580	82168
SRR8571623_1	1067	4429
SRR8571623_2	1716	3780
SRR8571624_1	2380	17542
SRR8571624_2	3986	15936
SRR8571625_1	1340	41663
SRR8571625_2	6150	36853
SRR8571626_1	1016	13579
SRR8571626_2	3408	11187
SRR8571627_1	1622	58572
SRR8571627_2	7677	52517
SRR8571628_1	1410	81241
SRR8571628_2	6372	76279
SRR8571629_1	422	12367
SRR8571629_2	1249	11540
SRR8571630_1	498	22105
SRR8571630_2	1714	20889
