Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR8571581_1	SRR8571581_1.gz	Conventional base calls	Sanger / Illumina 1.9	5936.0	1.4 Mbp	0.0	251.0	53.0	4.076819407008086	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571581_2	SRR8571581_2.gz	Conventional base calls	Sanger / Illumina 1.9	5936.0	1.4 Mbp	0.0	251.0	55.0	13.039083557951484	251.0	251	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571582_1	SRR8571582_1.gz	Conventional base calls	Sanger / Illumina 1.9	24462.0	6.1 Mbp	0.0	251.0	53.0	2.2442972774098604	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571582_2	SRR8571582_2.gz	Conventional base calls	Sanger / Illumina 1.9	24462.0	6.1 Mbp	0.0	251.0	54.0	6.185103425721527	251.0	251	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571583_1	SRR8571583_1.gz	Conventional base calls	Sanger / Illumina 1.9	5550.0	1.3 Mbp	0.0	251.0	54.0	5.891891891891892	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571583_2	SRR8571583_2.gz	Conventional base calls	Sanger / Illumina 1.9	5550.0	1.3 Mbp	0.0	251.0	55.0	19.855855855855857	251.0	251	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571584_1	SRR8571584_1.gz	Conventional base calls	Sanger / Illumina 1.9	30706.0	7.7 Mbp	0.0	251.0	54.0	3.175275190516511	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571584_2	SRR8571584_2.gz	Conventional base calls	Sanger / Illumina 1.9	30706.0	7.7 Mbp	0.0	251.0	56.0	12.476388979352569	251.0	251	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571585_1	SRR8571585_1.gz	Conventional base calls	Sanger / Illumina 1.9	12586.0	3.1 Mbp	0.0	250.0	55.0	7.7308120133481655	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571585_2	SRR8571585_2.gz	Conventional base calls	Sanger / Illumina 1.9	12586.0	3.1 Mbp	0.0	250.0	55.0	21.206102018115367	250.0	250	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571586_1	SRR8571586_1.gz	Conventional base calls	Sanger / Illumina 1.9	39483.0	9.9 Mbp	0.0	251.0	53.0	3.317883646126181	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571586_2	SRR8571586_2.gz	Conventional base calls	Sanger / Illumina 1.9	39483.0	9.9 Mbp	0.0	251.0	54.0	7.7906947293772	251.0	251	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571587_1	SRR8571587_1.gz	Conventional base calls	Sanger / Illumina 1.9	55963.0	14 Mbp	0.0	251.0	54.0	2.246126905276701	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571587_2	SRR8571587_2.gz	Conventional base calls	Sanger / Illumina 1.9	55963.0	14 Mbp	0.0	251.0	57.0	10.917927916659222	251.0	251	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR8571588_1	SRR8571588_1.gz	Conventional base calls	Sanger / Illumina 1.9	84615.0	21.2 Mbp	0.0	251.0	53.0	3.3741062459374818	251.0	251	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR8571588_2	SRR8571588_2.gz	Conventional base calls	Sanger / Illumina 1.9	84615.0	21.2 Mbp	0.0	251.0	55.0	13.338060627548307	251.0	251	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR8571589_1	SRR8571589_1.gz	Conventional base calls	Sanger / Illumina 1.9	2324.0	583.3 kbp	0.0	251.0	53.0	5.76592082616179	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571589_2	SRR8571589_2.gz	Conventional base calls	Sanger / Illumina 1.9	2324.0	583.3 kbp	0.0	251.0	54.0	16.910499139414803	251.0	251	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571590_1	SRR8571590_1.gz	Conventional base calls	Sanger / Illumina 1.9	11982.0	3 Mbp	0.0	251.0	52.0	19.571023201468872	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571590_2	SRR8571590_2.gz	Conventional base calls	Sanger / Illumina 1.9	11982.0	3 Mbp	0.0	251.0	53.0	43.56534802203305	251.0	251	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571591_1	SRR8571591_1.gz	Conventional base calls	Sanger / Illumina 1.9	1855.0	465.6 kbp	0.0	251.0	53.0	21.88679245283019	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571591_2	SRR8571591_2.gz	Conventional base calls	Sanger / Illumina 1.9	1855.0	465.6 kbp	0.0	251.0	54.0	67.00808625336927	251.0	251	pass	fail	warn	fail	fail	pass	pass	warn	fail	pass
SRR8571592_1	SRR8571592_1.gz	Conventional base calls	Sanger / Illumina 1.9	489478.0	122.8 Mbp	0.0	251.0	53.0	1.0180232819452562	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571592_2	SRR8571592_2.gz	Conventional base calls	Sanger / Illumina 1.9	489478.0	122.8 Mbp	0.0	251.0	55.0	5.727734443631787	251.0	251	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571593_1	SRR8571593_1.gz	Conventional base calls	Sanger / Illumina 1.9	4875.0	1.2 Mbp	0.0	251.0	53.0	7.1179487179487175	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571593_2	SRR8571593_2.gz	Conventional base calls	Sanger / Illumina 1.9	4875.0	1.2 Mbp	0.0	251.0	54.0	14.358974358974358	251.0	251	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571594_1	SRR8571594_1.gz	Conventional base calls	Sanger / Illumina 1.9	34873.0	8.7 Mbp	0.0	251.0	55.0	2.5721905198864454	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571594_2	SRR8571594_2.gz	Conventional base calls	Sanger / Illumina 1.9	34873.0	8.7 Mbp	0.0	251.0	57.0	11.163364207266367	251.0	251	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571595_1	SRR8571595_1.gz	Conventional base calls	Sanger / Illumina 1.9	646.0	162.1 kbp	0.0	251.0	56.0	35.294117647058826	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
SRR8571595_2	SRR8571595_2.gz	Conventional base calls	Sanger / Illumina 1.9	646.0	162.1 kbp	0.0	251.0	53.0	79.25696594427245	251.0	251	pass	fail	warn	fail	fail	pass	pass	pass	fail	pass
SRR8571596_1	SRR8571596_1.gz	Conventional base calls	Sanger / Illumina 1.9	11615.0	2.9 Mbp	0.0	251.0	54.0	6.913473956091261	251.0	251	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR8571596_2	SRR8571596_2.gz	Conventional base calls	Sanger / Illumina 1.9	11615.0	2.9 Mbp	0.0	251.0	57.0	25.286267757210503	251.0	251	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571597_1	SRR8571597_1.gz	Conventional base calls	Sanger / Illumina 1.9	42110.0	10.5 Mbp	0.0	251.0	54.0	3.172643077653764	251.0	251	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR8571597_2	SRR8571597_2.gz	Conventional base calls	Sanger / Illumina 1.9	42110.0	10.5 Mbp	0.0	251.0	57.0	12.557587271431963	251.0	251	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
