Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR8571581_1	95.92318059299191	53.0	251.0	251	40.0	5936.0
SRR8571581_2	86.96091644204851	55.0	251.0	251	40.0	5936.0
SRR8571582_1	97.75570272259014	53.0	251.0	251	40.0	24462.0
SRR8571582_2	93.81489657427848	54.0	251.0	251	40.0	24462.0
SRR8571583_1	94.10810810810811	54.0	251.0	251	40.0	5550.0
SRR8571583_2	80.14414414414415	55.0	251.0	251	50.0	5550.0
SRR8571584_1	96.82472480948348	54.0	251.0	251	40.0	30706.0
SRR8571584_2	87.52361102064744	56.0	251.0	251	50.0	30706.0
SRR8571585_1	92.26918798665183	55.0	250.0	250	40.0	12586.0
SRR8571585_2	78.79389798188464	55.0	250.0	250	40.0	12586.0
SRR8571586_1	96.68211635387382	53.0	251.0	251	40.0	39483.0
SRR8571586_2	92.2093052706228	54.0	251.0	251	40.0	39483.0
SRR8571587_1	97.7538730947233	54.0	251.0	251	40.0	55963.0
SRR8571587_2	89.08207208334078	57.0	251.0	251	40.0	55963.0
SRR8571588_1	96.62589375406252	53.0	251.0	251	30.0	84615.0
SRR8571588_2	86.6619393724517	55.0	251.0	251	40.0	84615.0
SRR8571589_1	94.23407917383821	53.0	251.0	251	40.0	2324.0
SRR8571589_2	83.08950086058519	54.0	251.0	251	40.0	2324.0
SRR8571590_1	80.42897679853112	52.0	251.0	251	40.0	11982.0
SRR8571590_2	56.43465197796695	53.0	251.0	251	50.0	11982.0
SRR8571591_1	78.11320754716981	53.0	251.0	251	40.0	1855.0
SRR8571591_2	32.99191374663073	54.0	251.0	251	40.0	1855.0
SRR8571592_1	98.98197671805474	53.0	251.0	251	40.0	489478.0
SRR8571592_2	94.27226555636821	55.0	251.0	251	50.0	489478.0
SRR8571593_1	92.88205128205128	53.0	251.0	251	40.0	4875.0
SRR8571593_2	85.64102564102564	54.0	251.0	251	40.0	4875.0
SRR8571594_1	97.42780948011355	55.0	251.0	251	40.0	34873.0
SRR8571594_2	88.83663579273363	57.0	251.0	251	50.0	34873.0
SRR8571595_1	64.70588235294117	56.0	251.0	251	50.0	646.0
SRR8571595_2	20.74303405572755	53.0	251.0	251	40.0	646.0
SRR8571596_1	93.08652604390873	54.0	251.0	251	30.0	11615.0
SRR8571596_2	74.71373224278949	57.0	251.0	251	50.0	11615.0
SRR8571597_1	96.82735692234624	54.0	251.0	251	40.0	42110.0
SRR8571597_2	87.44241272856803	57.0	251.0	251	50.0	42110.0
SRR8571598_1	97.88685220144936	52.0	251.0	251	40.0	65684.0
SRR8571598_2	89.23025394312161	53.0	251.0	251	40.0	65684.0
SRR8571599_1	98.64940221270521	55.0	251.0	251	40.0	89664.0
SRR8571599_2	93.73215560314061	56.0	251.0	251	40.0	89664.0
SRR8571600_1	98.07893859273021	51.0	251.0	251	40.0	83964.0
SRR8571600_2	90.77461769329713	52.0	251.0	251	40.0	83964.0
SRR8571601_1	98.26627955205309	51.0	251.0	251	40.0	120550.0
SRR8571601_2	89.86976358357528	52.0	251.0	251	40.0	120550.0
SRR8571602_1	97.10795095712015	52.0	251.0	251	40.0	45919.0
SRR8571602_2	89.74280798797884	54.0	251.0	251	40.0	45919.0
SRR8571603_1	96.73145970038381	54.0	251.0	251	40.0	32308.0
SRR8571603_2	87.45202426643556	57.0	251.0	251	40.0	32308.0
SRR8571604_1	98.2140911643187	54.0	251.0	251	40.0	119323.0
SRR8571604_2	92.64601124678394	56.0	251.0	251	50.0	119323.0
SRR8571605_1	93.82955256803888	51.0	251.0	251	40.0	33547.0
SRR8571605_2	85.1193847437923	52.0	251.0	251	50.0	33547.0
SRR8571606_1	98.2035035791183	54.0	251.0	251	40.0	194601.0
SRR8571606_2	89.53756661065462	56.0	251.0	251	50.0	194601.0
SRR8571607_1	87.65682790630213	52.0	250.0	250	40.0	13789.0
SRR8571607_2	79.20081224164188	53.0	250.0	250	40.0	13789.0
SRR8571608_1	92.39709932536574	53.0	250.0	250	40.0	39577.0
SRR8571608_2	82.49488339186901	54.0	250.0	250	50.0	39577.0
SRR8571609_1	94.6176024279211	53.0	250.0	250	40.0	65900.0
SRR8571609_2	80.97875569044007	54.0	250.0	250	50.0	65900.0
SRR8571610_1	92.20928583807289	52.0	250.0	250	40.0	63473.0
SRR8571610_2	85.34652529421959	53.0	250.0	250	30.0	63473.0
