pathway	description	SRR8571581	SRR8571582	SRR8571583	SRR8571584	SRR8571585	SRR8571586	SRR8571587	SRR8571588	SRR8571589	SRR8571590	SRR8571591	SRR8571592	SRR8571593	SRR8571594	SRR8571595	SRR8571596	SRR8571597	SRR8571598	SRR8571599	SRR8571600	SRR8571601	SRR8571602	SRR8571603	SRR8571604	SRR8571605	SRR8571606	SRR8571607	SRR8571608	SRR8571609	SRR8571610	SRR8571611	SRR8571612	SRR8571613	SRR8571614	SRR8571615	SRR8571616	SRR8571617	SRR8571618	SRR8571619	SRR8571620	SRR8571621	SRR8571622	SRR8571623	SRR8571624	SRR8571625	SRR8571626	SRR8571627	SRR8571628	SRR8571629	SRR8571630
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	1631.206598596251	6483.8883093358745	945.341735655418	7586.091827784812	2004.4370096855905	1125.7625620643405	13827.578554726171	36302.8528503773	15.261257110968725	2664.726655758411	317.956213543485	87502.65770211583	178.99978876381766	6677.415391666324	71.04494639123075	1815.6827451558293	8435.641040466535	22157.722012658804	27452.150138095225	28038.58195457865	44678.0795567902	14111.288524844327	8441.8123642377	18197.589303911744	17350.821786630906	24083.75922246968	6993.013150548911	11266.186084415634	18618.880541854352	24065.18026981657	16203.89083231535	4725.274126513151	13515.711993588922	3569.034130145874	4657.277730955999	4597.788687483006	224.3205979152804	7799.656538654399	3929.6486665692128	63387.61587409229	6208.984053328175	26487.013211399302	2221.81134544115	9205.525685740122	11471.074985775116	3150.1499232412043	12068.92566915927	19498.038300594708	134.62217180869987	1311.180463228859
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	0.0	0.0	0.0	0.0	764.2048964553578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5038380387075557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.68532408105453	20.02785350239108	8.689264334401038	84.52448966119302	53.20576655223618	688.9978264942893	6.942362280029722	920.9988492073796	1009.5857297010108	966.1311340948736	0.0	0.0	0.0	0.0	12.132956588092012	0.0	5.986213182495336	35.12668406803528	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	0.0	54.22410068753974	6.603368033739724	65.71615843408686	1128.1904109163374	380.4878417910932	53.01539091521166	109.57078356629862	13.952256081234133	94.57887190295152	0.0	2531.87635244956	26.183468678388053	49.72042252338879	29.52279871895716	0.0	60.764324301098966	12099.43838376156	25723.94130631309	125.19344397164193	24959.429041924257	154.49202252621367	54.58939759081353	426.5640733326471	224.41485045863	158.44319896412432	865.9419218782905	1043.8948374041306	579.0608995902852	2970.790091334156	1872.3619502050276	1477.464834132241	182.72199064457092	1905.1106423535443	2620.564686321068	2418.0889732231167	20.02384578357277	65.02195712518841	0.0	444.1925452711391	808.2774280231478	272.4738151423492	340.769335583139	1365.009755740518	4889.119769123539	58.6708622509873	1918.391035583924	845.5784812292347	48.555255056212886	22.00908260165949
ANAEROFRUCAT-PWY	homolactic fermentation	3876.7650301139406	16835.966784840246	1352.2256645693144	10678.443723711804	2585.4964748533584	26590.636265266752	16886.256831722676	38654.50551513018	1379.468534024013	5133.858263680623	361.83862004529175	166568.82014608505	3266.0269554213223	7808.259401651215	52.78156396900796	2148.4787958721267	10480.90570043307	18223.71225187365	35186.92119851191	22059.354376867937	37132.42825733187	18230.40965531624	10031.64607232111	22395.417386783814	18935.352637744825	30727.33237402796	7061.4655124037145	13186.997574455683	21289.90904039706	24799.02501846711	17752.017316779984	22505.191317288663	39037.35421220842	4725.890057119084	5135.609306862178	6870.335358858437	265.5783530779684	10923.595177306875	10757.786282909829	77645.27213677214	6326.990020262236	26407.40082242528	2408.919427685649	9828.13993601742	13100.394687002308	4406.0119413872335	13771.165692767014	18928.95204034181	7952.217811087478	14661.43389197227
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	3805.6633154963847	16490.015801217873	1457.0459034777896	10992.230831181962	3581.216937955914	25511.32701760688	17181.66252709638	48475.6584082303	1343.2018843957867	5049.387150885593	456.2969488569737	195588.91943158372	3157.286331818647	8124.029648158797	84.91518517302524	2252.6987111186686	10725.57752485675	28017.7786796746	36413.0406786629	34882.02048531169	56133.65652491624	18300.946990926288	10122.4728425763	23725.62210182445	22800.25741773152	32624.187926433977	9692.222656332258	15904.554198061604	28517.848299033056	32491.183008940658	21903.11535975088	25635.80601805008	38002.11305779021	5239.333076082354	6766.8145069926	7282.85723181537	298.241052294985	11119.63317770394	10954.706287894043	83094.79966431917	8640.212969387647	31950.135683171637	3022.0004863137724	12567.58829776802	14125.62246452956	4463.493811466186	14036.118720911092	21873.01767141437	7771.092087066819	14168.42764680184
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	0.0	98.97333499949504	51.90249663918807	1726.6167978161768	994.4293082767506	483.9367477439214	3962.7714682930578	12029.447350701195	8.432241602409567	295.9460227515799	128.30293901110642	8906.240760343633	32.565839815683944	286.00073219593537	46.37435124348831	88.88922123988439	996.8302727662182	9544.350629824718	25586.70396484003	54.19163462683952	18918.139798796525	6041.14977160532	2296.239057228023	938.7999223500724	462.7431579511472	523.8034371320402	2693.7850549090126	3176.184046450536	2337.763906466997	9599.476105384165	5892.15054782312	1292.3271550855466	442.6733223946625	2237.8734699698725	1847.7513081784448	1673.279809768458	11.35307478035095	1364.640591371682	99.70492678031982	2664.1565757852613	2350.0434489200925	116.6893369700196	1048.3457183314108	4328.61197175497	2559.923669559657	440.9238933829493	490.3961586483924	203.0957619147684	27.044991426794734	18.524334879805195
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	21.251514742657974	2.3070892912124608	9.310397481867746	788.4458102252917	153.4311565977752	3.1012061512226	5.431275150442453	5.41870018231787	44.04679412344358	0.0	946.6793578863122	8.252837362480811	7.738207787585039	15.196087597224814	0.0	7.7517486700190625	6805.524220107103	24974.26223181064	16.94998549782965	14731.635534791962	8.549430324498525	3.89003197397307	104.88764309040909	67.7426252901559	47.79559973831702	281.95242169479286	272.58027331117006	155.71030059984562	793.684602368201	553.8527699001551	809.9026088581452	59.79439785138553	1141.493876499928	1198.4094546505617	1127.8044255831032	4.257999650701194	9.314409543712902	0.0	106.024256770211	226.52125903412443	35.74251141304081	91.56364035911876	380.01409862938976	1612.5269046105657	6.204171384079139	280.7379199797484	94.83737544273106	18.82549634288031	6.190779341874796
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	1459.9848999838318	6965.279386438389	48.587936754397575	209.31809875856467	151.46642820827813	11480.168104541615	229.19344549074415	2979.965993705519	800.4749504862759	2049.110036690761	37.63238482946852	6678.645281766003	1347.8730438356783	0.0	1.209845930293758	46.52338612301752	137.75050734754086	1508.3760793618542	1883.8489417310784	4129.919921521215	432.5980554594361	2111.5568753475386	268.0025372946246	719.6004478808695	3631.3715645075936	713.4835292037986	1179.924696597576	1038.0686527369503	672.0519869195348	3273.718459536906	2083.8517865494964	3615.3234855295295	13622.928882420236	660.7891652905142	106.9709816784258	1873.8725345035343	45.63881537916969	252.9099983343113	2003.4253823747688	2532.241017992826	1161.4934833056045	5130.390432731709	504.1176291719195	1992.1123313074988	2957.835764098985	111.58273159830392	2682.7040798829607	1095.654431369428	4360.580149215741	7415.361422673456
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	1058.4160256917871	4195.49004637021	603.9021492582432	9064.352856228155	1370.160738113303	1026.2889372720313	9797.68386546513	33351.99928605696	264.8747444640593	769.963590530217	308.61571246138544	76946.94365242407	73.9832547190273	5596.220122125504	48.6680373099294	1577.5149819433182	7921.1990362182705	14695.093080118304	25267.7623761914	17377.31094078171	25847.14647797432	12648.436813278367	6517.738581508724	10971.38326188034	9523.773575878817	16303.56182893704	5995.130661846461	9343.284250076622	15671.045908068369	20160.407541536224	12990.709570549458	2364.1316391360438	8703.574669303098	3694.194085048861	4386.226343754656	4257.939766072372	185.5462778085708	9456.132513580387	8761.064488714854	34817.87207603988	5233.068251936173	21117.223817330145	2075.740482538008	8690.078907033832	9620.627456112616	4678.929199352816	11193.75598954996	18048.97491547588	1735.2110948384534	2085.132376669206
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	1037.1934497469908	4073.80250956534	532.0987801983414	9434.293858604397	1387.4773812382368	1116.6849482151802	9868.930002148696	34772.5928322976	277.40234833520213	686.7235627494647	295.2454807567684	78120.95039415415	37.31367509142848	4588.94813772215	43.92250496299007	1331.521401370081	8039.922357829866	12250.877191088415	25698.808939425784	10745.114636223903	22592.2160423848	12252.195842412297	6666.085371503713	8721.346458077613	5078.244427658254	12861.702509731604	6144.339679645518	9409.129280218516	15805.330212514764	20383.298005640543	13123.700671319551	2435.0337172300824	8276.05877773896	3852.9636375498194	4770.490442418783	3870.060813993453	166.5002896019217	9806.397242216408	9224.511672962712	29204.839464371384	5318.075704792937	16358.808142872564	2134.3693437548736	8917.058986549044	7681.542950981299	5020.100602252715	10108.609115372865	17025.264569249164	1815.7272237573236	2183.5980490894704
