task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	cb/ed3418	131677	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571583)	COMPLETED	0	2024-06-11 11:10:05.894	15.1s	9ms	168.6%	0	0	99.1 KB	902 B
3	c6/ad0fa3	132280	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571587)	COMPLETED	0	2024-06-11 11:10:06.311	16.3s	8ms	145.8%	0	0	99.1 KB	902 B
4	23/8fd28f	132327	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571589)	COMPLETED	0	2024-06-11 11:10:06.331	17.1s	7ms	140.5%	0	0	99.1 KB	902 B
5	15/7be813	132723	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571590)	COMPLETED	0	2024-06-11 11:10:06.458	19.5s	7ms	168.6%	0	0	99.1 KB	902 B
6	08/7b8478	133876	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571598)	COMPLETED	0	2024-06-11 11:10:07.095	24.3s	9ms	155.2%	0	0	99.1 KB	902 B
8	a5/67a5b8	135317	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571603)	COMPLETED	0	2024-06-11 11:10:08.234	33.2s	8ms	125.3%	0	0	99.1 KB	902 B
7	fe/4a2ca0	134910	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571601)	COMPLETED	0	2024-06-11 11:10:07.982	34.9s	10ms	106.7%	0	0	99.1 KB	902 B
9	1f/19510e	135907	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571612)	COMPLETED	0	2024-06-11 11:10:08.646	36.6s	8ms	126.1%	0	0	99.1 KB	902 B
10	a3/4162ff	136036	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571614)	COMPLETED	0	2024-06-11 11:10:08.747	36.5s	9ms	99.5%	0	0	99.1 KB	901 B
11	29/994801	136169	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571615)	COMPLETED	0	2024-06-11 11:10:08.923	36.4s	11ms	132.8%	0	0	99.1 KB	902 B
12	5d/561279	136301	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571619)	COMPLETED	0	2024-06-11 11:10:09.062	36.2s	12ms	128.9%	0	0	99.1 KB	902 B
13	c1/0a1ca4	139165	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571620)	COMPLETED	0	2024-06-11 11:10:12.090	39.6s	7ms	188.0%	0	0	99.1 KB	902 B
15	70/3ef657	139261	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571629)	COMPLETED	0	2024-06-11 11:10:12.233	39.4s	9ms	154.5%	0	0	99.1 KB	902 B
14	68/a55f06	139208	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571623)	COMPLETED	0	2024-06-11 11:10:12.135	40.3s	7ms	130.8%	0	0	99.1 KB	902 B
17	5c/9112db	139496	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571584)	COMPLETED	0	2024-06-11 11:10:12.482	40.3s	8ms	126.1%	0	0	99.1 KB	902 B
16	10/fe0703	139297	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571581)	COMPLETED	0	2024-06-11 11:10:12.277	41.5s	8ms	118.9%	0	0	99.1 KB	902 B
18	90/e3c92f	139678	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571585)	COMPLETED	0	2024-06-11 11:10:12.575	43.2s	11ms	150.7%	0	0	99.1 KB	902 B
19	75/7980d0	139717	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571591)	COMPLETED	0	2024-06-11 11:10:12.584	43.4s	8ms	64.6%	0	0	99.1 KB	901 B
27	27/1219d7	145517	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571608)	COMPLETED	0	2024-06-11 11:10:18.191	44.7s	8ms	120.9%	0	0	99.1 KB	902 B
28	c7/9c3b3e	146428	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571609)	COMPLETED	0	2024-06-11 11:10:18.695	44.2s	8ms	174.3%	0	0	99.1 KB	902 B
29	8e/8e4ce2	146830	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571610)	COMPLETED	0	2024-06-11 11:10:19.207	43.6s	10ms	100.0%	0	0	99.1 KB	902 B
20	77/804bda	142921	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571592)	COMPLETED	0	2024-06-11 11:10:16.061	46.9s	12ms	118.6%	0	0	99.1 KB	902 B
21	4c/5cd607	142952	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571593)	COMPLETED	0	2024-06-11 11:10:16.088	46.9s	9ms	172.4%	0	0	99.1 KB	902 B
22	62/b2f328	143142	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571594)	COMPLETED	0	2024-06-11 11:10:16.323	46.6s	7ms	68.0%	0	0	99.1 KB	901 B
23	63/91aa68	143358	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571596)	COMPLETED	0	2024-06-11 11:10:16.399	46.6s	7ms	141.5%	0	0	99.1 KB	902 B
24	a8/0ef043	143860	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571599)	COMPLETED	0	2024-06-11 11:10:17.036	45.9s	7ms	68.0%	0	0	99.1 KB	901 B
25	23/83db66	144726	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571600)	COMPLETED	0	2024-06-11 11:10:17.589	45.4s	8ms	68.9%	0	0	99.1 KB	901 B
26	2a/5c43da	145206	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR8571602)	COMPLETED	0	2024-06-11 11:10:17.901	45.1s	6ms	135.1%	0	0	99.1 KB	902 B
